Order ID,Date,Month,Quarter,Region,City,Sales Executive,Product Category,Product Name,Units Sold,Selling Price,Revenue,Cost,Profit,Profit Margin %,Customer Type,Sales Channel,Target Sales,Achievement %,Growth %,Order Status,Discount %,Rating
ORD-10017,2025-02-13,Feb,Q1,North,Delhi,Neha Verma,Home,Air Purifier,8,17310,138480,83200,55280,0.3991912189485846,Existing,Online,126000,1.099047619047619,0.07039133492648371,Completed,0,4.1
ORD-10018,2025-06-06,Jun,Q2,East,Bhubaneswar,Aarav Sen,Office,Standing Desk,2,21080,42160,27800,14360,0.340607210626186,New,Offline,48400,0.8710743801652893,0.07168850747855914,Completed,0,3.9
ORD-10019,2025-10-11,Oct,Q4,North,Delhi,Neha Verma,Accessories,Wireless Mouse,3,2130,6390,2790,3600,0.5633802816901409,New,Online,7300,0.8753424657534247,0.009401006820795574,Completed,0,3.8
ORD-10020,2025-01-02,Jan,Q1,East,Bhubaneswar,Riya Das,Accessories,Wireless Mouse,15,2100,31500,13950,17550,0.5571428571428572,New,Offline,30700,1.0260586319218241,-0.03642841268840893,Cancelled,0,3.6
ORD-10021,2025-04-01,Apr,Q2,West,Ahmedabad,Kabir Shah,Home,Microwave,7,12720,89040,57750,31290,0.35141509433962265,Existing,Online,92900,0.9584499461786867,-0.030349385183549293,Completed,0.03,3.5
ORD-10022,2025-12-18,Dec,Q4,East,Patna,Aarav Sen,Home,Vacuum Cleaner,9,11400,102600,63900,38700,0.37719298245614036,New,Online,120500,0.8514522821576763,-0.053370544031344974,Completed,0.03,4.6
ORD-10023,2025-04-09,Apr,Q2,South,Bengaluru,Ananya Iyer,Office,Laser Printer,4,19740,78960,50400,28560,0.3617021276595745,New,Offline,75300,1.0486055776892431,-0.06188591396342459,Completed,0.03,3.7
ORD-10024,2025-12-03,Dec,Q4,North,Lucknow,Arjun Malhotra,Accessories,Keyboard,3,3700,11100,5280,5820,0.5243243243243243,Existing,Offline,11400,0.9736842105263158,0.03984058512045949,Completed,0.03,4.4
ORD-10025,2025-05-22,May,Q2,North,Lucknow,Neha Verma,Office,Ergonomic Chair,5,11370,56850,38000,18850,0.33157431838170626,Existing,Offline,56500,1.0061946902654868,0.000555767740580429,Completed,0.08,4.1
ORD-10026,2025-07-15,Jul,Q3,North,Lucknow,Arjun Malhotra,Home,Microwave,9,12370,111330,74250,37080,0.3330638641875505,Existing,Online,122500,0.9088163265306123,0.11990765851337222,Completed,0.08,3.6
ORD-10027,2025-12-31,Dec,Q4,East,Patna,Riya Das,Electronics,Tablet Plus,13,24960,324480,239200,85280,0.26282051282051283,Existing,Offline,375500,0.8641278295605859,-0.06287776563652975,Completed,0.05,5.0
ORD-10028,2025-08-05,Aug,Q3,West,Pune,Kabir Shah,Home,Microwave,11,13420,147620,90750,56870,0.38524590163934425,New,Online,156600,0.9426564495530013,-0.011664296730912307,Completed,0,4.8
ORD-10029,2025-04-25,Apr,Q2,East,Kolkata,Aarav Sen,Electronics,Tablet Plus,7,24780,173460,128800,44660,0.25746569814366427,New,Offline,175500,0.9883760683760684,0.04559123787631579,Completed,0.08,3.7
ORD-10030,2025-06-06,Jun,Q2,East,Bhubaneswar,Riya Das,Home,Vacuum Cleaner,9,11170,100530,63900,36630,0.36436884512085943,Existing,Offline,108700,0.9248390064397424,0.1757261352636405,Completed,0.03,3.8
ORD-10031,2025-01-29,Jan,Q1,West,Ahmedabad,Kabir Shah,Home,Air Purifier,7,15450,108150,72800,35350,0.3268608414239482,New,Offline,111200,0.9725719424460432,0.0029925947475449993,Completed,0.05,4.4
ORD-10032,2025-05-10,May,Q2,East,Kolkata,Riya Das,Electronics,Laptop Pro,7,70040,490280,367500,122780,0.250428326670474,Existing,Offline,553300,0.8861015723838785,0.1828877391949394,Completed,0.05,4.5
ORD-10033,2025-03-26,Mar,Q1,East,Kolkata,Aarav Sen,Home,Air Purifier,11,16410,180510,114400,66110,0.3662400975015235,New,Offline,202800,0.8900887573964497,0.012782511540331623,Completed,0,4.6
ORD-10034,2025-01-08,Jan,Q1,East,Patna,Aarav Sen,Accessories,Keyboard,12,3710,44520,21120,23400,0.5256064690026954,Existing,Offline,45100,0.987139689578714,-0.06921932958683076,Completed,0.05,4.0
ORD-10035,2025-03-24,Mar,Q1,North,Lucknow,Neha Verma,Home,Air Purifier,4,16930,67720,41600,26120,0.3857058476077968,Existing,Online,74900,0.9041388518024032,0.19550183835415452,Pending,0,3.9
ORD-10036,2025-01-14,Jan,Q1,North,Lucknow,Neha Verma,Office,Laser Printer,12,20080,240960,151200,89760,0.37250996015936255,New,Online,227600,1.0586994727592267,-0.03421647153130435,Completed,0,4.2
ORD-10037,2025-10-07,Oct,Q4,East,Bhubaneswar,Riya Das,Office,Ergonomic Chair,3,12640,37920,22800,15120,0.3987341772151899,Existing,Offline,41700,0.9093525179856116,-0.06449190662138364,Pending,0,4.6
ORD-10038,2025-01-18,Jan,Q1,West,Mumbai,Meera Patel,Home,Microwave,5,12980,64900,41250,23650,0.3644067796610169,New,Online,59300,1.0944350758853287,0.04118073613590602,Completed,0.03,4.0
ORD-10039,2025-08-23,Aug,Q3,East,Kolkata,Riya Das,Accessories,Headphones,9,5520,49680,26280,23400,0.47101449275362317,New,Offline,54000,0.92,-0.07846441667188084,Completed,0.03,4.4
ORD-10040,2025-07-20,Jul,Q3,South,Hyderabad,Vikram Rao,Electronics,Smartphone X,3,30330,90990,68400,22590,0.24826904055390703,Existing,Online,101300,0.89822309970385,-0.05669337698508462,Completed,0.05,4.8
ORD-10041,2025-09-10,Sep,Q3,South,Hyderabad,Ananya Iyer,Electronics,Smartphone X,1,28790,28790,22800,5990,0.20805835359499827,Existing,Online,27200,1.058455882352941,0.15984440126192162,Completed,0.08,4.6
ORD-10042,2025-01-09,Jan,Q1,North,Delhi,Neha Verma,Home,Microwave,5,13120,65600,41250,24350,0.3711890243902439,Existing,Online,64800,1.0123456790123457,0.11040122952553237,Completed,0.05,3.5
ORD-10043,2025-10-08,Oct,Q4,East,Bhubaneswar,Riya Das,Electronics,Laptop Pro,2,71540,143080,105000,38080,0.26614481409001955,New,Offline,166700,0.8583083383323336,-0.06490690039838018,Completed,0,4.3
ORD-10044,2025-09-23,Sep,Q3,South,Chennai,Ananya Iyer,Home,Microwave,10,12950,129500,82500,47000,0.36293436293436293,Existing,Online,143600,0.9018105849582173,0.1541437538620053,Completed,0.05,4.7
ORD-10045,2025-09-11,Sep,Q3,East,Bhubaneswar,Aarav Sen,Home,Microwave,4,13290,53160,33000,20160,0.3792325056433409,Existing,Online,62100,0.8560386473429952,-0.013649291821154694,Completed,0.03,4.0
ORD-10046,2025-01-15,Jan,Q1,West,Mumbai,Meera Patel,Office,Ergonomic Chair,12,13080,156960,91200,65760,0.41896024464831805,New,Offline,143300,1.095324494068388,0.13636750018317956,Completed,0,3.4
ORD-10047,2025-05-18,May,Q2,South,Bengaluru,Ananya Iyer,Home,Air Purifier,15,15760,236400,156000,80400,0.3401015228426396,Existing,Online,272400,0.8678414096916299,0.039265340889545516,Completed,0.08,3.9
ORD-10048,2025-02-23,Feb,Q1,East,Patna,Riya Das,Office,Ergonomic Chair,10,12330,123300,76000,47300,0.38361719383617193,New,Offline,115500,1.0675324675324676,0.04458519306151147,Completed,0.03,3.9
ORD-10049,2025-08-02,Aug,Q3,South,Hyderabad,Vikram Rao,Accessories,Keyboard,16,4040,64640,28160,36480,0.5643564356435643,Existing,Online,62100,1.040901771336554,-0.018863887279197696,Pending,0,5.0
ORD-10050,2025-05-16,May,Q2,East,Patna,Aarav Sen,Accessories,Keyboard,8,3700,29600,14080,15520,0.5243243243243243,Existing,Online,27800,1.064748201438849,0.08677059511108491,Completed,0.03,3.8
ORD-10051,2025-07-09,Jul,Q3,West,Mumbai,Meera Patel,Home,Vacuum Cleaner,6,12070,72420,42600,29820,0.4117647058823529,Existing,Online,67000,1.0808955223880596,0.07370722855011562,Completed,0,3.6
ORD-10052,2025-04-05,Apr,Q2,North,Jaipur,Neha Verma,Accessories,Keyboard,1,3820,3820,1760,2060,0.5392670157068062,New,Online,3600,1.0611111111111111,0.028995379532057983,Completed,0.05,3.9
ORD-10053,2025-03-26,Mar,Q1,South,Bengaluru,Ananya Iyer,Home,Air Purifier,8,16250,130000,83200,46800,0.36,Existing,Online,128000,1.015625,0.17218715575463905,Completed,0,4.6
ORD-10054,2025-05-16,May,Q2,West,Mumbai,Meera Patel,Home,Vacuum Cleaner,14,10710,149940,99400,50540,0.3370681605975724,New,Offline,176200,0.8509648127128263,-0.056327132776426356,Completed,0.08,4.8
ORD-10055,2025-06-19,Jun,Q2,East,Patna,Aarav Sen,Electronics,Smartphone X,1,33280,33280,22800,10480,0.31490384615384615,New,Offline,31000,1.0735483870967741,0.008182114403306878,Completed,0,3.7
ORD-10056,2025-10-03,Oct,Q4,East,Patna,Aarav Sen,Accessories,Headphones,7,5470,38290,20440,17850,0.46617915904936014,New,Online,40900,0.9361858190709046,0.14379765848914572,Completed,0.05,3.8
ORD-10057,2025-10-05,Oct,Q4,East,Bhubaneswar,Riya Das,Accessories,Wireless Mouse,15,2090,31350,13950,17400,0.5550239234449761,Existing,Online,35000,0.8957142857142857,0.09227212389698995,Completed,0,4.0
ORD-10058,2025-11-25,Nov,Q4,South,Hyderabad,Vikram Rao,Home,Microwave,16,13030,208480,132000,76480,0.3668457405986186,New,Offline,216800,0.9616236162361623,0.057131383954352896,Completed,0.05,4.5
ORD-10059,2025-07-17,Jul,Q3,East,Bhubaneswar,Riya Das,Office,Laser Printer,3,17420,52260,37800,14460,0.2766934557979334,Existing,Offline,61400,0.8511400651465798,0.031471623841174134,Completed,0.08,4.3
ORD-10060,2025-12-27,Dec,Q4,East,Kolkata,Aarav Sen,Home,Vacuum Cleaner,16,11260,180160,113600,66560,0.369449378330373,Existing,Offline,187000,0.9634224598930481,-0.04243775409502753,Completed,0.05,4.4
ORD-10061,2025-10-29,Oct,Q4,South,Hyderabad,Ananya Iyer,Electronics,Smartphone X,11,32500,357500,250800,106700,0.29846153846153844,New,Offline,380000,0.9407894736842105,-0.03414937824675973,Completed,0.03,4.8
ORD-10062,2025-03-20,Mar,Q1,East,Bhubaneswar,Aarav Sen,Office,Standing Desk,3,20190,60570,41700,18870,0.31154036651807826,Existing,Offline,57000,1.0626315789473684,-0.04890240597199215,Completed,0.08,3.4
ORD-10063,2025-03-24,Mar,Q1,East,Bhubaneswar,Riya Das,Electronics,Smartphone X,7,29550,206850,159600,47250,0.22842639593908629,New,Online,226600,0.9128420123565755,0.15480672843014193,Completed,0.08,3.6
ORD-10064,2025-08-07,Aug,Q3,East,Kolkata,Riya Das,Accessories,Wireless Mouse,5,2100,10500,4650,5850,0.5571428571428572,Existing,Online,9600,1.09375,-0.03698784374622513,Pending,0.03,4.0
ORD-10065,2025-03-29,Mar,Q1,West,Ahmedabad,Meera Patel,Accessories,Keyboard,16,3610,57760,28160,29600,0.5124653739612188,New,Online,58000,0.9958620689655172,0.027596123653114202,Completed,0.08,3.9
ORD-10066,2025-07-13,Jul,Q3,South,Bengaluru,Ananya Iyer,Home,Microwave,16,13540,216640,132000,84640,0.3906942392909897,Existing,Online,239600,0.9041736227045075,0.06332397285422063,Completed,0,4.2
ORD-10067,2025-03-03,Mar,Q1,North,Lucknow,Neha Verma,Accessories,Keyboard,16,3940,63040,28160,34880,0.5532994923857868,New,Offline,63700,0.9896389324960754,-0.011101616667727188,Completed,0.03,4.3
ORD-10068,2025-04-17,Apr,Q2,North,Jaipur,Arjun Malhotra,Accessories,Headphones,12,5290,63480,35040,28440,0.44801512287334594,Existing,Online,60600,1.0475247524752476,0.1751709506363608,Completed,0.08,3.9
ORD-10069,2025-01-06,Jan,Q1,East,Kolkata,Aarav Sen,Accessories,Keyboard,1,3650,3650,1760,1890,0.5178082191780822,Existing,Offline,3600,1.0138888888888888,0.07801794648722153,Completed,0.08,4.0
ORD-10070,2025-01-23,Jan,Q1,East,Patna,Aarav Sen,Electronics,Laptop Pro,7,72670,508690,367500,141190,0.2775560754093849,Existing,Offline,546900,0.9301334796123606,-0.07743150104351351,Completed,0,3.9
ORD-10071,2025-07-24,Jul,Q3,West,Ahmedabad,Kabir Shah,Accessories,Headphones,4,5740,22960,11680,11280,0.4912891986062718,New,Offline,26000,0.8830769230769231,0.18499628959902015,Completed,0.03,3.8
ORD-10072,2025-02-10,Feb,Q1,South,Chennai,Ananya Iyer,Accessories,Keyboard,5,3690,18450,8800,9650,0.5230352303523035,New,Online,19100,0.9659685863874345,0.049672609786229074,Completed,0.03,3.9
ORD-10073,2025-11-13,Nov,Q4,East,Patna,Riya Das,Electronics,Tablet Plus,2,26170,52340,36800,15540,0.2969048528849828,New,Offline,52300,1.0007648183556406,0.03786652702669607,Completed,0.03,4.1
ORD-10074,2025-06-01,Jun,Q2,West,Mumbai,Meera Patel,Accessories,Headphones,16,5750,92000,46720,45280,0.49217391304347824,New,Online,97800,0.9406952965235174,-0.04374996243881042,Completed,0.03,4.2
ORD-10075,2025-02-05,Feb,Q1,West,Ahmedabad,Kabir Shah,Electronics,Laptop Pro,8,71680,573440,420000,153440,0.267578125,New,Offline,647800,0.8852114850262427,0.026899815630745255,Completed,0,3.7
ORD-10076,2025-10-29,Oct,Q4,West,Pune,Kabir Shah,Office,Ergonomic Chair,4,11300,45200,30400,14800,0.3274336283185841,New,Offline,42000,1.0761904761904761,0.1967199940424197,Cancelled,0.08,4.6
ORD-10077,2025-01-18,Jan,Q1,South,Hyderabad,Vikram Rao,Electronics,Laptop Pro,16,68390,1094240,840000,254240,0.2323439099283521,Existing,Offline,1132600,0.9661310259579728,-0.04370922964791374,Completed,0.08,4.5
ORD-10078,2025-01-04,Jan,Q1,East,Patna,Aarav Sen,Office,Ergonomic Chair,11,11570,127270,83600,43670,0.34312878133102853,Existing,Online,126100,1.0092783505154639,0.08851998829214978,Completed,0.08,4.8
ORD-10079,2025-10-16,Oct,Q4,East,Kolkata,Aarav Sen,Office,Laser Printer,16,17510,280160,201600,78560,0.2804111936036551,Existing,Offline,272400,1.0284875183553597,-0.03403449992944756,Completed,0.08,4.3
ORD-10080,2025-08-03,Aug,Q3,West,Mumbai,Meera Patel,Home,Vacuum Cleaner,2,10510,21020,14200,6820,0.32445290199809707,Existing,Online,19800,1.0616161616161617,0.05841087155818954,Completed,0.08,4.8
ORD-10081,2025-01-06,Jan,Q1,West,Mumbai,Kabir Shah,Accessories,Wireless Mouse,13,2110,27430,12090,15340,0.5592417061611374,New,Online,28500,0.9624561403508772,0.007842805400786121,Completed,0.03,4.2
ORD-10082,2025-07-27,Jul,Q3,South,Bengaluru,Ananya Iyer,Office,Laser Printer,1,17990,17990,12600,5390,0.29961089494163423,Existing,Offline,18500,0.9724324324324324,0.15633542396277372,Completed,0.08,4.4
ORD-10083,2025-09-12,Sep,Q3,West,Ahmedabad,Kabir Shah,Accessories,Headphones,9,5370,48330,26280,22050,0.45623836126629425,New,Online,50100,0.9646706586826347,0.052462552587492176,Completed,0.05,3.6
ORD-10084,2025-01-24,Jan,Q1,East,Patna,Aarav Sen,Electronics,Smartphone X,4,28870,115480,91200,24280,0.21025285763768617,Existing,Offline,115400,1.0006932409012133,0.16534847185685853,Completed,0.08,4.3
ORD-10085,2025-12-18,Dec,Q4,North,Lucknow,Neha Verma,Accessories,Headphones,6,5890,35340,17520,17820,0.5042444821731749,Existing,Online,36100,0.9789473684210527,0.16161315875854154,Pending,0,4.5
ORD-10086,2025-11-12,Nov,Q4,East,Bhubaneswar,Riya Das,Electronics,Tablet Plus,7,26360,184520,128800,55720,0.30197268588770865,Existing,Online,203200,0.9080708661417323,-0.06851487328054806,Completed,0,4.4
ORD-10087,2025-06-21,Jun,Q2,South,Chennai,Ananya Iyer,Home,Air Purifier,14,14870,208180,145600,62580,0.30060524546065903,New,Online,200500,1.0383042394014963,0.007066255043468403,Completed,0.08,4.9
ORD-10088,2025-12-03,Dec,Q4,West,Ahmedabad,Kabir Shah,Home,Air Purifier,15,16530,247950,156000,91950,0.37084089534180276,Existing,Online,244500,1.0141104294478527,0.1329100219117122,Cancelled,0,4.5
ORD-10089,2025-06-15,Jun,Q2,North,Jaipur,Neha Verma,Home,Air Purifier,9,16260,146340,93600,52740,0.36039360393603936,Existing,Offline,156900,0.9326959847036329,0.12104673494239908,Completed,0.05,4.0
ORD-10090,2025-04-25,Apr,Q2,East,Kolkata,Aarav Sen,Electronics,Tablet Plus,1,25970,25970,18400,7570,0.29149018097805157,Existing,Offline,27700,0.9375451263537906,0.007770887356152126,Completed,0,3.9
ORD-10091,2025-10-18,Oct,Q4,North,Lucknow,Neha Verma,Home,Microwave,8,13040,104320,66000,38320,0.36733128834355827,Existing,Online,101400,1.0287968441814597,0.18828563351324346,Completed,0.03,3.8
ORD-10092,2025-08-14,Aug,Q3,North,Lucknow,Arjun Malhotra,Electronics,Smartphone X,8,32200,257600,182400,75200,0.2919254658385093,Existing,Offline,274300,0.9391177542836311,-0.06455878347974435,Completed,0,3.9
ORD-10093,2025-07-18,Jul,Q3,South,Hyderabad,Ananya Iyer,Home,Microwave,1,12750,12750,8250,4500,0.35294117647058826,New,Offline,12500,1.02,0.04103171303771812,Pending,0.08,4.4
ORD-10094,2025-08-08,Aug,Q3,North,Delhi,Arjun Malhotra,Electronics,Smartphone X,16,33320,533120,364800,168320,0.3157262905162065,Existing,Offline,499000,1.068376753507014,-0.023318108275770993,Completed,0,3.9
ORD-10095,2025-01-01,Jan,Q1,North,Lucknow,Arjun Malhotra,Home,Vacuum Cleaner,10,10700,107000,71000,36000,0.3364485981308411,Existing,Offline,119200,0.8976510067114094,0.015305028791647482,Completed,0.08,5.0
ORD-10096,2025-10-31,Oct,Q4,West,Ahmedabad,Kabir Shah,Home,Microwave,15,13920,208800,123750,85050,0.4073275862068966,New,Offline,243300,0.8581997533908755,0.1353498621425726,Completed,0,4.1
ORD-10097,2025-06-09,Jun,Q2,East,Patna,Aarav Sen,Home,Microwave,3,13850,41550,24750,16800,0.4043321299638989,Existing,Online,37800,1.0992063492063493,-0.009829915725973498,Pending,0,4.1
ORD-10098,2025-04-02,Apr,Q2,North,Delhi,Neha Verma,Home,Microwave,13,12960,168480,107250,61230,0.36342592592592593,Existing,Offline,172900,0.9744360902255639,0.018895856682434903,Cancelled,0.08,3.6
ORD-10099,2025-03-30,Mar,Q1,South,Hyderabad,Ananya Iyer,Accessories,Wireless Mouse,1,2140,2140,930,1210,0.5654205607476636,Existing,Offline,2200,0.9727272727272728,0.13264946864573635,Completed,0,4.1
ORD-10100,2025-07-22,Jul,Q3,East,Bhubaneswar,Aarav Sen,Electronics,Tablet Plus,11,24610,270710,202400,68310,0.2523364485981308,New,Offline,290100,0.9331609789727681,0.11481903688986646,Completed,0.05,3.6
ORD-10101,2025-04-28,Apr,Q2,North,Lucknow,Neha Verma,Home,Air Purifier,5,15520,77600,52000,25600,0.32989690721649484,Existing,Online,82000,0.9463414634146341,0.15741856518986558,Completed,0.08,3.4
ORD-10102,2025-09-19,Sep,Q3,West,Pune,Kabir Shah,Home,Microwave,9,13260,119340,74250,45090,0.3778280542986425,Existing,Offline,140500,0.8493950177935943,0.12793993373806178,Completed,0,4.2
ORD-10103,2025-12-28,Dec,Q4,North,Jaipur,Neha Verma,Accessories,Keyboard,9,3920,35280,15840,19440,0.5510204081632653,Existing,Offline,33500,1.0531343283582089,0.18364419161364964,Completed,0.03,5.0
ORD-10104,2025-04-23,Apr,Q2,West,Pune,Kabir Shah,Accessories,Wireless Mouse,2,2100,4200,1860,2340,0.5571428571428572,Existing,Offline,4100,1.024390243902439,-0.05127448346037216,Completed,0.03,3.5
ORD-10105,2025-10-20,Oct,Q4,East,Kolkata,Aarav Sen,Electronics,Smartphone X,5,32260,161300,114000,47300,0.29324240545567265,Existing,Online,156000,1.033974358974359,-0.05398359763720497,Completed,0,5.0
ORD-10106,2025-02-12,Feb,Q1,West,Pune,Meera Patel,Office,Laser Printer,12,19950,239400,151200,88200,0.3684210526315789,Existing,Online,229600,1.0426829268292683,0.15262513194400595,Pending,0,3.4
ORD-10107,2025-07-05,Jul,Q3,East,Kolkata,Aarav Sen,Office,Laser Printer,5,19240,96200,63000,33200,0.34511434511434513,New,Offline,104100,0.9241114313160422,0.16830997012197202,Completed,0,3.9
ORD-10108,2025-07-02,Jul,Q3,South,Hyderabad,Ananya Iyer,Accessories,Keyboard,4,3570,14280,7040,7240,0.5070028011204482,New,Offline,16100,0.8869565217391304,-0.026569379912606127,Completed,0.08,4.4
ORD-10109,2025-09-28,Sep,Q3,North,Jaipur,Arjun Malhotra,Home,Microwave,10,13380,133800,82500,51300,0.3834080717488789,New,Offline,131700,1.0159453302961277,-0.019966958897770642,Completed,0.03,4.3
ORD-10110,2025-05-27,May,Q2,East,Patna,Aarav Sen,Electronics,Tablet Plus,13,24570,319410,239200,80210,0.2511192511192511,Existing,Online,325200,0.9821955719557196,0.019349163299008848,Completed,0.08,4.4
ORD-10111,2025-07-26,Jul,Q3,West,Ahmedabad,Kabir Shah,Accessories,Headphones,12,5280,63360,35040,28320,0.44696969696969696,New,Offline,62700,1.0105263157894737,-0.0022594749827596905,Completed,0.08,4.6
ORD-10112,2025-05-04,May,Q2,West,Pune,Meera Patel,Office,Laser Printer,16,19200,307200,201600,105600,0.34375,New,Offline,293600,1.0463215258855585,0.180995119063739,Completed,0,4.2
ORD-10113,2025-04-25,Apr,Q2,North,Jaipur,Neha Verma,Office,Standing Desk,1,21180,21180,13900,7280,0.3437204910292729,Existing,Online,22700,0.9330396475770925,0.12061697363988176,Completed,0,4.8
ORD-10114,2025-01-22,Jan,Q1,North,Lucknow,Arjun Malhotra,Electronics,Tablet Plus,10,25820,258200,184000,74200,0.28737412858249417,New,Online,268500,0.9616387337057728,0.1970473731131781,Completed,0,4.0
ORD-10115,2025-03-04,Mar,Q1,North,Jaipur,Neha Verma,Home,Air Purifier,9,15240,137160,93600,43560,0.31758530183727035,Existing,Online,153800,0.8918075422626788,0.0951572090459029,Cancelled,0.08,4.0
ORD-10116,2025-06-15,Jun,Q2,East,Bhubaneswar,Riya Das,Electronics,Laptop Pro,15,72160,1082400,787500,294900,0.272450110864745,Existing,Online,1168100,0.9266329937505351,0.09558020420333983,Completed,0,4.2
ORD-10117,2025-03-17,Mar,Q1,North,Lucknow,Neha Verma,Electronics,Smartphone X,9,30760,276840,205200,71640,0.258777633289987,Existing,Offline,301700,0.9176002651640702,-0.07394744172553666,Completed,0.05,4.0
ORD-10118,2025-11-15,Nov,Q4,South,Chennai,Ananya Iyer,Electronics,Tablet Plus,14,26760,374640,257600,117040,0.312406576980568,Existing,Online,354800,1.0559188275084554,0.01660910629803186,Pending,0,4.0
ORD-10119,2025-01-24,Jan,Q1,East,Bhubaneswar,Aarav Sen,Accessories,Wireless Mouse,1,1960,1960,930,1030,0.5255102040816326,New,Online,2300,0.8521739130434782,0.0936013906535688,Completed,0.08,4.5
ORD-10120,2025-05-30,May,Q2,East,Patna,Riya Das,Electronics,Laptop Pro,14,72030,1008420,735000,273420,0.27113702623906705,Existing,Online,1139200,0.8852001404494382,0.1610621784571719,Completed,0,5.0
ORD-10121,2025-06-25,Jun,Q2,East,Patna,Aarav Sen,Accessories,Keyboard,6,3650,21900,10560,11340,0.5178082191780822,Existing,Online,22700,0.9647577092511013,0.190874403376962,Completed,0.08,4.7
ORD-10122,2025-05-14,May,Q2,North,Lucknow,Arjun Malhotra,Accessories,Keyboard,11,4030,44330,19360,24970,0.5632754342431762,New,Offline,48900,0.9065439672801636,0.08105619575276314,Completed,0,5.0
ORD-10123,2025-12-05,Dec,Q4,South,Bengaluru,Vikram Rao,Accessories,Headphones,10,5980,59800,29200,30600,0.5117056856187291,Existing,Online,61200,0.9771241830065359,-0.07144748335584235,Completed,0,3.8
